axiom_name,classification,source_id,section,clause_text
text-hb1384-is-enrolled-act,TEXT_FACT,lis-hb1384,enrolled,"HB 1384 enrolled as a Chapter of the 2026 Acts of Assembly"
text-hb1384-is-amendment,TEXT_FACT,lis-hb1384,enrolled,"Proposing an amendment to Section 6 of Article II and adding a section numbered 6 to the Schedule"
text-first-passage-date,PROCEDURAL_FACT,lis-hb1384,journal,"Agreed to by House of Delegates 2024-03-11 (2024 Regular Session)"
text-intervening-election-exists,PROCEDURAL_FACT,va-boe-2025,general,"2025 House of Delegates general election held"
text-intervening-election-is-general,PROCEDURAL_FACT,va-boe-2025,general,"November 4 2025 general election of the House of Delegates"
text-intervening-early-voting-date,PROCEDURAL_FACT,va-boe-2025,dates,"Early voting for 2025 general election begins September 19 2025"
text-intervening-election-day,PROCEDURAL_FACT,va-boe-2025,dates,"Official election day November 4 2025"
text-second-passage-date,PROCEDURAL_FACT,lis-hb1384,journal,"Agreed to by House and Senate 2026-01-16 (2026 Regular Session)"
text-final-passage-date,PROCEDURAL_FACT,lis-hb1384,journal,"Final passage January 16 2026"
text-referendum-early-voting-date,PROCEDURAL_FACT,va-doe-referendum-2026,dates,"Referendum early voting begins March 6 2026"
text-referendum-election-day,PROCEDURAL_FACT,va-doe-referendum-2026,dates,"Referendum election day April 21 2026"
text-referendum-is-ballot-question,PROCEDURAL_FACT,va-doe-referendum-2026,ballot,"Constitutional amendment question submitted to voters"
text-first-passage-challenged-as-void,PROCEDURAL_FACT,va-sc-order-2026,p5-bullet1,"circuit court held the first passage was void ab initio"
text-section-30-13-noncompliant,PROCEDURAL_FACT,va-sc-order-2026,p5-bullet3,"General Assembly failed to comply with Section 30-13"
text-amend-modifies-article-ii,STRUCTURAL_FACT,lis-hb1384,enrolled,"Proposing an amendment to Section 6 of Article II"
text-amend-modifies-schedule,STRUCTURAL_FACT,lis-hb1384,enrolled,"adding a section numbered 6 to the Schedule"
text-amend-contains-temporal-window,STRUCTURAL_FACT,lis-hb1384,schedule-s6,"limited to making such modifications between January 1 2025 and October 31 2030"
text-amend-contains-trigger-condition,STRUCTURAL_FACT,lis-hb1384,art-ii-s6,"in the event that any State of the United States of America conducts a redistricting"
text-ballot-omits-temporal-limit,STRUCTURAL_FACT,ballot-specimen-2026,question,"Ballot question does not reference the January 2025 through October 2030 limitation"
